,X,Y,condition,genotype,sex,replicate
0,151,0.6543367346938775,cont,mhc,f,3
1,193,0.6938775510204082,cont,mhc,f,3
2,236,0.6543367346938775,cont,mhc,f,3
3,71,0.7665816326530612,cont,mhc,f,3
4,131,0.7653061224489796,cont,mhc,f,3
5,212,0.7869897959183674,cont,mhc,f,3
6,134,0.6926020408163265,cont,mhc,f,3
7,223,0.7602040816326531,cont,mhc,f,3
8,168,0.6913265306122449,cont,mhc,f,3
9,109,0.7857142857142857,cont,mhc,f,3
10,258,0.8125,cont,mhc,f,3
11,284,0.028061224489795866,cont,mhc,f,3
12,136,0.7257653061224489,cont,mhc,f,3
13,124,0.7716836734693877,cont,mhc,f,3
14,142,0.764030612244898,cont,mhc,f,3
15,130,0.7882653061224489,cont,mhc,f,3
16,76,0.8903061224489796,cont,mhc,f,3
17,243,0.6492346938775511,cont,mhc,f,3
18,143,0.8316326530612245,cont,mhc,f,3
19,26,0.8392857142857143,cont,mhc,f,3
20,139,0.6581632653061225,cont,mhc,f,3
21,135,0.715561224489796,cont,mhc,f,3
22,175,0.860969387755102,cont,mhc,f,3
23,123,0.8647959183673469,cont,mhc,f,3
24,121,0.7614795918367347,cont,mhc,f,3
25,155,0.798469387755102,cont,mhc,f,3
26,54,0.6836734693877551,cont,mhc,f,3
27,39,0.6900510204081632,cont,mhc,f,3
28,209,0.8176020408163265,cont,mhc,f,3
29,73,0.8647959183673469,cont,mhc,f,3
30,253,0.7818877551020408,cont,mhc,f,3
31,268,0.8533163265306123,cont,mhc,f,3
32,85,0.8456632653061225,cont,mhc,f,3
33,252,0.8941326530612245,cont,mhc,f,3
34,41,0.9170918367346939,cont,mhc,f,3
35,123,0.8775510204081632,cont,mhc,f,3
36,255,0.9311224489795918,cont,mhc,f,3
37,43,0.8673469387755102,cont,mhc,f,3
38,147,0.9132653061224489,cont,mhc,f,3
39,131,0.8137755102040816,cont,mhc,f,3
40,59,0.8533163265306123,cont,mhc,f,3
41,133,0.9298469387755102,cont,mhc,f,3
42,99,0.8635204081632653,cont,mhc,f,3
43,186,0.9426020408163265,cont,mhc,f,3
44,82,0.8622448979591837,cont,mhc,f,3
45,204,0.8647959183673469,cont,mhc,f,3
46,148,0.8252551020408163,cont,mhc,f,3
47,59,0.8839285714285714,cont,mhc,f,3
48,264,0.8290816326530612,cont,mhc,f,3
49,26,0.9017857142857143,cont,mhc,f,3
50,221,0.9630102040816326,cont,mhc,f,3
51,114,0.9426020408163265,cont,mhc,f,3
52,233,0.8073979591836735,cont,mhc,f,3
53,246,0.8673469387755102,cont,mhc,f,3
54,257,0.9068877551020408,cont,mhc,f,3
55,184,0.9566326530612245,cont,mhc,f,3
0,190,0.7244897959183674,cont,mhc,f,2
