 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,794,142.760,79.861,199.278,0,0,-90.795,793.076
2,0,116.000,116.000,116.000,62,312,0.000,0.000
3,0,122.000,122.000,122.000,179,325,0.000,0.000
4,0,122.000,122.000,122.000,249,225,0.000,0.000
5,0,125.000,125.000,125.000,142,271,0.000,0.000
6,0,125.000,125.000,125.000,24,239,0.000,0.000
7,0,125.000,125.000,125.000,32,187,0.000,0.000
8,0,125.000,125.000,125.000,178,176,0.000,0.000
9,0,125.000,125.000,125.000,61,170,0.000,0.000
10,0,126.000,126.000,126.000,114,248,0.000,0.000
11,0,127.000,127.000,127.000,175,349,0.000,0.000
12,0,127.000,127.000,127.000,200,142,0.000,0.000
13,0,128.000,128.000,128.000,30,181,0.000,0.000
14,0,128.000,128.000,128.000,271,90,0.000,0.000
15,0,129.000,129.000,129.000,247,157,0.000,0.000
16,0,130.000,130.000,130.000,262,174,0.000,0.000
17,0,131.000,131.000,131.000,286,747,0.000,0.000
18,0,131.000,131.000,131.000,114,287,0.000,0.000
19,0,131.000,131.000,131.000,45,220,0.000,0.000
20,0,132.000,132.000,132.000,38,140,0.000,0.000
21,0,132.000,132.000,132.000,195,133,0.000,0.000
22,0,133.000,133.000,133.000,265,159,0.000,0.000
23,0,136.000,136.000,136.000,127,211,0.000,0.000
24,0,136.000,136.000,136.000,255,134,0.000,0.000
25,0,137.000,137.000,137.000,105,216,0.000,0.000
26,0,138.000,138.000,138.000,164,118,0.000,0.000
27,0,138.000,138.000,138.000,95,105,0.000,0.000
28,0,139.000,139.000,139.000,248,92,0.000,0.000
29,0,139.000,139.000,139.000,88,62,0.000,0.000
30,0,143.000,143.000,143.000,216,110,0.000,0.000
31,0,144.000,144.000,144.000,147,205,0.000,0.000
32,0,144.000,144.000,144.000,269,101,0.000,0.000
33,0,145.000,145.000,145.000,95,132,0.000,0.000
34,0,145.000,145.000,145.000,177,44,0.000,0.000
35,0,149.000,149.000,149.000,213,158,0.000,0.000
36,0,151.000,151.000,151.000,33,121,0.000,0.000
37,0,152.000,152.000,152.000,221,3,0.000,0.000
