 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,118.000,118.000,118.000,188,397,0.000,0.000
2,0,118.000,118.000,118.000,126,269,0.000,0.000
3,0,121.000,121.000,121.000,155,600,0.000,0.000
4,0,127.000,127.000,127.000,161,71,0.000,0.000
5,0,128.000,128.000,128.000,232,284,0.000,0.000
6,0,128.000,128.000,128.000,40,110,0.000,0.000
7,0,129.000,129.000,129.000,215,197,0.000,0.000
8,0,130.000,130.000,130.000,147,269,0.000,0.000
9,0,131.000,131.000,131.000,138,400,0.000,0.000
10,0,131.000,131.000,131.000,220,167,0.000,0.000
11,0,132.000,132.000,132.000,150,197,0.000,0.000
12,0,132.000,132.000,132.000,200,177,0.000,0.000
13,0,133.000,133.000,133.000,206,160,0.000,0.000
14,0,134.000,134.000,134.000,124,249,0.000,0.000
15,0,134.000,134.000,134.000,253,228,0.000,0.000
16,0,134.000,134.000,134.000,159,215,0.000,0.000
17,0,134.000,134.000,134.000,78,165,0.000,0.000
18,0,134.000,134.000,134.000,223,163,0.000,0.000
19,0,134.000,134.000,134.000,77,151,0.000,0.000
20,0,134.000,134.000,134.000,62,121,0.000,0.000
21,0,134.000,134.000,134.000,131,95,0.000,0.000
22,0,136.000,136.000,136.000,167,105,0.000,0.000
23,0,137.000,137.000,137.000,233,133,0.000,0.000
24,0,137.000,137.000,137.000,170,129,0.000,0.000
25,0,138.000,138.000,138.000,272,202,0.000,0.000
26,0,138.000,138.000,138.000,125,188,0.000,0.000
27,0,139.000,139.000,139.000,119,242,0.000,0.000
28,0,139.000,139.000,139.000,83,170,0.000,0.000
29,0,139.000,139.000,139.000,280,145,0.000,0.000
30,0,140.000,140.000,140.000,211,201,0.000,0.000
31,0,140.000,140.000,140.000,111,132,0.000,0.000
32,0,140.000,140.000,140.000,131,87,0.000,0.000
33,0,141.000,141.000,141.000,33,127,0.000,0.000
34,0,141.000,141.000,141.000,217,57,0.000,0.000
35,0,142.000,142.000,142.000,119,93,0.000,0.000
36,0,142.000,142.000,142.000,178,78,0.000,0.000
37,0,143.000,143.000,143.000,252,119,0.000,0.000
38,0,143.000,143.000,143.000,25,89,0.000,0.000
39,0,144.000,144.000,144.000,132,253,0.000,0.000
40,0,144.000,144.000,144.000,30,221,0.000,0.000
41,0,144.000,144.000,144.000,188,127,0.000,0.000
42,0,144.000,144.000,144.000,93,99,0.000,0.000
43,0,145.000,145.000,145.000,37,123,0.000,0.000
44,0,145.000,145.000,145.000,262,121,0.000,0.000
45,0,145.000,145.000,145.000,67,120,0.000,0.000
46,0,145.000,145.000,145.000,31,80,0.000,0.000
47,0,145.000,145.000,145.000,230,79,0.000,0.000
48,0,145.000,145.000,145.000,85,79,0.000,0.000
49,0,145.000,145.000,145.000,73,68,0.000,0.000
50,0,145.000,145.000,145.000,39,53,0.000,0.000
51,0,146.000,146.000,146.000,179,175,0.000,0.000
52,0,146.000,146.000,146.000,45,147,0.000,0.000
53,0,147.000,147.000,147.000,44,138,0.000,0.000
54,0,147.000,147.000,147.000,195,133,0.000,0.000
55,0,147.000,147.000,147.000,66,106,0.000,0.000
56,0,147.000,147.000,147.000,34,88,0.000,0.000
57,0,148.000,148.000,148.000,242,147,0.000,0.000
58,0,148.000,148.000,148.000,132,102,0.000,0.000
59,0,148.000,148.000,148.000,45,80,0.000,0.000
60,0,148.000,148.000,148.000,147,74,0.000,0.000
61,0,148.000,148.000,148.000,79,52,0.000,0.000
62,0,149.000,149.000,149.000,255,154,0.000,0.000
63,0,150.000,150.000,150.000,48,126,0.000,0.000
64,0,150.000,150.000,150.000,34,66,0.000,0.000
65,0,150.000,150.000,150.000,138,43,0.000,0.000
66,0,151.000,151.000,151.000,259,97,0.000,0.000
67,0,151.000,151.000,151.000,183,91,0.000,0.000
68,0,151.000,151.000,151.000,57,68,0.000,0.000
69,0,152.000,152.000,152.000,247,83,0.000,0.000
70,0,152.000,152.000,152.000,237,60,0.000,0.000
