 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,107.000,107.000,107.000,198,599,0.000,0.000
2,0,111.000,111.000,111.000,220,361,0.000,0.000
3,0,115.000,115.000,115.000,210,565,0.000,0.000
4,0,117.000,117.000,117.000,196,766,0.000,0.000
5,0,117.000,117.000,117.000,200,321,0.000,0.000
6,0,117.000,117.000,117.000,238,315,0.000,0.000
7,0,118.000,118.000,118.000,244,362,0.000,0.000
8,0,119.000,119.000,119.000,187,381,0.000,0.000
9,0,120.000,120.000,120.000,174,482,0.000,0.000
10,0,121.000,121.000,121.000,180,632,0.000,0.000
11,0,122.000,122.000,122.000,202,453,0.000,0.000
12,0,122.000,122.000,122.000,182,297,0.000,0.000
13,0,123.000,123.000,123.000,182,701,0.000,0.000
14,0,125.000,125.000,125.000,125,696,0.000,0.000
15,0,125.000,125.000,125.000,213,309,0.000,0.000
16,0,126.000,126.000,126.000,203,304,0.000,0.000
17,0,127.000,127.000,127.000,221,194,0.000,0.000
18,0,129.000,129.000,129.000,237,299,0.000,0.000
19,0,129.000,129.000,129.000,200,296,0.000,0.000
20,0,131.000,131.000,131.000,198,341,0.000,0.000
21,0,132.000,132.000,132.000,209,348,0.000,0.000
22,0,133.000,133.000,133.000,252,242,0.000,0.000
23,0,135.000,135.000,135.000,50,300,0.000,0.000
24,0,136.000,136.000,136.000,240,221,0.000,0.000
25,0,146.000,146.000,146.000,198,72,0.000,0.000
26,0,148.000,148.000,148.000,22,149,0.000,0.000
