 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0,116.000,116.000,116.000,130,494,0.000,0.000
2,0,117.000,117.000,117.000,160,468,0.000,0.000
3,0,120.000,120.000,120.000,131,486,0.000,0.000
4,0,124.000,124.000,124.000,158,372,0.000,0.000
5,0,128.000,128.000,128.000,57,399,0.000,0.000
6,0,129.000,129.000,129.000,136,541,0.000,0.000
7,0,129.000,129.000,129.000,110,440,0.000,0.000
8,0,131.000,131.000,131.000,139,290,0.000,0.000
9,0,133.000,133.000,133.000,252,304,0.000,0.000
10,0,135.000,135.000,135.000,46,355,0.000,0.000
11,0,144.000,144.000,144.000,112,281,0.000,0.000
