,condition,genotype,sex,replicate,mean,std,count
0,cont,mhc,f,1,0.767512410369553,0.16050709226670062,37
1,cont,mhc,f,2,0.806087975730833,0.1544481073643529,37
2,cont,mhc,f,3,0.8029108965014579,0.13564137788721572,56
3,cont,mhc,f,4,0.775337253545486,0.132895900112774,59
4,cont,mhc,f,5,0.7750441522762952,0.12893606472220934,52
5,cont,mhc,m,1,0.8170041454081632,0.15885888104076737,32
6,cont,mhc,m,2,0.8011661807580173,0.12348593178306488,35
7,cont,mhc,m,3,0.7893936420722135,0.14702924109074056,26
8,cont,mhc,m,4,0.8287273242630385,0.15328870702184505,36
9,cont,mhc,m,5,0.8017762660619803,0.12985442285448917,54
10,cont,mhc,m,6,0.8098578717201167,0.1170897306858563,70
11,cont,mhc,m,7,0.7841398278061222,0.13806589461278973,64
12,expt,mhc,f,1,0.509124803767661,0.2265259273703407,26
13,expt,mhc,f,2,0.463265306122449,0.2369854673387415,20
14,expt,mhc,f,3,0.491138560687433,0.20707025207680693,19
15,expt,mhc,f,4,0.4368286788399571,0.2445169172023226,19
16,expt,mhc,f,5,0.410890218156228,0.23244419961347704,29
17,expt,mhc,m,1,0.282312925170068,0.1820840145810681,6
18,expt,mhc,m,2,0.486317254174397,0.11447104101310342,11
19,expt,mhc,m,3,0.4375,0.19082076007072496,6
20,expt,mhc,m,4,0.5572157434402333,0.22399333023340715,7
21,expt,mhc,m,5,0.5261479591836734,0.2342304749548398,24
